,Job_Title,Company,Salary,Location,URL,Days posted
15,Toe aan een nieuwe uitdaging? Word team lead operations in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0d70fcb3&cb=1543878578596&jobListingId=3046053459, 1 day ago
16,Ga aan de slag als telemarketeer voor warme leads vlakbij het station in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2a1a7189&cb=1543878578597&jobListingId=2784064828, 2 days ago
17,Tijdens de drukke decembermaand aan de slag als verkoopmedewerker in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_291ff886&cb=1543878578598&jobListingId=3041078602, 4 days ago
18,Weekend koeriers gezocht in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0ae220f2&cb=1543878578599&jobListingId=3004691003, 10 days ago
19,Parttime (24-32 uur p/w Juridisch Secretaresse gezocht in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2beb5feb&cb=1543878578600&jobListingId=3042610397, 3 days ago
20,Regional Sales Engineer, Robert Bosch Tool Corporation  ,$70k-$88k,"Carrollton, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=189299&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_bad807ff&cb=1543878578602&jobListingId=3024666050, 30+ days ago
21,Field Service Technician (Hydraulics), Bosch Security  ,$23-$36 per hour,"Houston, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4120&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6957a328&cb=1543878578603&jobListingId=2943045846, 24 days ago
22,Magazijnmedewerkers in de nacht gezocht bij DHL in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f5fd3e43&cb=1543878578605&jobListingId=2696602792, 6 days ago
23,Parttime chauffeurs gezocht in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9927a80b&cb=1543878578610&jobListingId=2936988443, 27 days ago
24,Klantenservice medewerker in Den Bosch, YoungCapital  New,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=172489&s=58&guid=000001677655900ca3235617eaf8b03a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a3d56d6f&cb=1543878578611&jobListingId=2930744973,7 days ago
