,Job_Title,Company,Salary,Location,URL,Days posted
0,Parttime assemblage medewerker gezocht in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=172489&s=58&guid=000001676ba8e1b5b8aff176c0e14bd6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_8e6d099f&cb=1543699489426&jobListingId=3037002251, 4 days ago
1,EBIKE TECHNICAL PRODUCT SPECIALIST - Texas, Bosch Group  ,$46k-$79k,"Austin, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=180625&s=58&guid=000001676ba8e1b5b8aff176c0e14bd6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_41663015&cb=1543699489428&jobListingId=3042798391, 1 day ago
2,Warehouse Team Leader, Bosch Group  ,$45k-$97k,"Laredo, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=180625&s=58&guid=000001676ba8e1b5b8aff176c0e14bd6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_be6bfaa1&cb=1543699489429&jobListingId=3039812195, 3 days ago
3,HSE Coordinator, Bosch Group  ,$36k-$56k,"Socorro, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=180625&s=58&guid=000001676ba8e1b5b8aff176c0e14bd6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d7e366b0&cb=1543699489431&jobListingId=3039812629,7 days ago
4,IT Infrastructure Architect in Manufacturing (m/w), BSH Bosch und Siemens Hausgeräte GmbH  ,80000,"Germany, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=416967&s=58&guid=000001676ba8e1b5b8aff176c0e14bd6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1aba1864&cb=1543699489432&jobListingId=3014785405, 26 days ago
5,Site Leader - ADAS Development, Bosch Group  ,80000,"Austin, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=180625&s=58&guid=000001676ba8e1b5b8aff176c0e14bd6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_426cb77b&cb=1543699489433&jobListingId=3014909990, 26 days ago
6,Parttime of fulltime wasstraat medewerker gezocht in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=172489&s=58&guid=000001676ba8e1b5b8aff176c0e14bd6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_b714a319&cb=1543699489434&jobListingId=3005677005, 7 days ago
7,Klantenservice medewerker in Den Bosch, YoungCapital  New,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=172489&s=58&guid=000001676ba8e1b5b8aff176c0e14bd6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2a14a6c3&cb=1543699489436&jobListingId=2930744973,7 days ago
8,Productiemedewerker bij PostNL in Den Bosch, YoungCapital  New,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=172489&s=58&guid=000001676ba8e1b5b8aff176c0e14bd6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_beb963c2&cb=1543699489436&jobListingId=3041078596,7 days ago
9,Verkoopmedewerker in de weekenden bij herenmodezaak in Den Bosch, YoungCapital  ,80000,"Nederland, TX",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=172489&s=58&guid=000001676ba8e1b5b8aff176c0e14bd6&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_d4114daf&cb=1543699489437&jobListingId=3040179195, 3 days ago
